id	path	name	gender	born	died	desc	sets	scores	link	wikidata	wikipedia	imslp	image
60159846	Abbott,_Jane_Bingham	Jane Bingham Abbott	Female	1851	1934	US pianist, singer and composer	1	2	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Abbott,+Jane	Q60159846	https://de.wikipedia.org/wiki/Jane_Abbott_(Komponistin)	https://imslp.org/wiki/Category:Abbott,_Jane_Bingham	
11925257	Abrams,_Harriett	Harriett Abrams	Female	1758	1821	English musician, singer, composer	1	2	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Abrams,+Harriett	Q11925257	https://en.wikipedia.org/wiki/Harriett_Abrams	https://imslp.org/wiki/Category:Abrams,_Harriett	https://upload.wikimedia.org/wikipedia/commons/c/cc/A_duet_by_Miss_Harriet_and_Miss_Theodosia_Abrams,_Harrison's_Concert,_Hanover_Square.jpg
552010	Bantock,_Granville	Granville Bantock	Male	1868	1946	British composer and conductor	1	5	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Bantock,+Granville	Q552010	https://en.wikipedia.org/wiki/Granville_Bantock	https://imslp.org/wiki/Category:Bantock,_Granville	https://upload.wikimedia.org/wikipedia/commons/8/8d/Granville_Bantock.jpg
5085825	Barnard,_Charlotte_Alington_-_aka_Claribel	Charlotte Alington Barnard	Female	1830	1869	British composer and hymnwriter	1	5	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Barnard,+Charlotte	Q5085825	https://en.wikipedia.org/wiki/Charlotte_Alington_Barnard	https://imslp.org/wiki/Category:Barnard,_Charlotte_Alington	
5566022	Barnby,_Joseph	Joseph Barnby	Male	1838	1896	British musician	1	2	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Barnby,+Joseph	Q5566022	https://en.wikipedia.org/wiki/Joseph_Barnby	https://imslp.org/wiki/Category:Barnby,_Joseph	https://upload.wikimedia.org/wikipedia/commons/b/b3/Joseph_Barnby.jpg
5403071	Barns,_Ethel	Ethel Barns	Female	1874	1948	British composer and violinist	1	1	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Barns,+Ethel	Q5403071	https://en.wikipedia.org/wiki/Ethel_Barns	https://imslp.org/wiki/Category:Barns,_Ethel	
235699	Beach,_Amy	Amy Beach	Female	1867	1944	American composer and pianist	3	10	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Beach,+Amy	Q235699	https://en.wikipedia.org/wiki/Amy_Beach	https://imslp.org/wiki/Category:Beach,_Amy_Marcy	https://upload.wikimedia.org/wikipedia/commons/9/91/Amy_March_(Cheney)_Beach,_1867-1944,_head_and_shoulders,_facing_slightly_left_LCCN2006690272.jpg
255	Beethoven,_Ludwig_van	Ludwig van Beethoven	Male	1770	1827	German composer	2	14	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Beethoven,+Ludwig	Q255	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	https://imslp.org/wiki/Category:Beethoven,_Ludwig_van	https://upload.wikimedia.org/wikipedia/commons/6/6f/Beethoven.jpg
18529943	Bianchi_Lacy,_Jane	Jane Bianchi	Female	1776	1858	English singer in London and Oudh	1	1	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Bianchi+Lacy,+Jane	Q18529943	https://en.wikipedia.org/wiki/Jane_Bianchi	https://imslp.org/wiki/Category:Bianchi_Lacy,_Jane	
1200639	Bishop,_Henry	Henry Bishop	Male	1787	1855	British composer	1	2	https://musescore.com/openscore-lieder-corpus/sets?order=title&text=Bishop,+Henry	Q1200639	https://en.wikipedia.org/wiki/Henry_Bishop_(composer)	https://imslp.org/wiki/Category:Bishop,_Henry_Rowley	https://upload.wikimedia.org/wikipedia/commons/9/9f/Sir_Henry_Rowley_Bishop_by_Isaac_Pocock.jpg
