id	path	name	link	imslp	set_id	lyricist_url
6583477	Abbott,_Jane_Bingham/_/Just_for_Today	Just for Today	https://musescore.com/openscore-lieder-corpus/scores/6583477	#412044	5106766	https://imslp.org/wiki/Category:Wilberforce,_Samuel
6583512	Abbott,_Jane_Bingham/_/Think_of_Today	Think of Today	https://musescore.com/openscore-lieder-corpus/scores/6583512	#530500	5106766	
6583907	Abrams,_Harriett/_/Crazy_Jane	Crazy Jane	https://musescore.com/openscore-lieder-corpus/scores/6583907	#396671	5106769	
6583966	Abrams,_Harriett/_/The_Orphan’s_Prayer	The Orphan’s Prayer	https://musescore.com/openscore-lieder-corpus/scores/6583966	#436708	5106769	
6211535	Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters	The Old Fisherman of the Mists and Waters	https://musescore.com/openscore-lieder-corpus/scores/6211535	#236270	5103566	https://imslp.org/wiki/Category:He,_Zhizhang
6211549	Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road	The Ghost Road	https://musescore.com/openscore-lieder-corpus/scores/6211549	#236270	5103566	https://imslp.org/wiki/Category:Du,_Fu
6211555	Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon	Under the Moon	https://musescore.com/openscore-lieder-corpus/scores/6211555	#236270	5103566	https://imslp.org/wiki/Category:Li_Tai_Po
6211559	Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver	The Celestial Weaver	https://musescore.com/openscore-lieder-corpus/scores/6211559	#236270	5103566	
6211561	Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring	Return of Spring	https://musescore.com/openscore-lieder-corpus/scores/6211561	#236270	5103566	https://imslp.org/wiki/Category:Sikong,_Tu
6623221	Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin	Farewell to Erin	https://musescore.com/openscore-lieder-corpus/scores/6623221	#286538	5106882	
6623145	Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning	Five o’clock in the morning	https://musescore.com/openscore-lieder-corpus/scores/6623145	#397171	5106882	
6622814	Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith	Milly’s Faith	https://musescore.com/openscore-lieder-corpus/scores/6622814	#397173	5106882	
6585571	Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet	Strangers Yet	https://musescore.com/openscore-lieder-corpus/scores/6585571	#626314	5106882	
6586675	Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook	The Brook	https://musescore.com/openscore-lieder-corpus/scores/6586675	#626307	5106882	https://imslp.org/wiki/Category:Tennyson,_Alfred
6478624	Barnby,_Joseph/_/The_Beggar_Maid	The Beggar Maid	https://musescore.com/openscore-lieder-corpus/scores/6478624	#183800	5105982	https://imslp.org/wiki/Category:Tennyson,_Alfred
6479829	Barnby,_Joseph/_/To_England	To England	https://musescore.com/openscore-lieder-corpus/scores/6479829	#542017	5105982	
