id	path	name	scores	target	link	imslp	composer_id
5106766	Abbott,_Jane_Bingham/_	Other songs by Jane Bingham Abbott	2		https://musescore.com/openscore-lieder-corpus/sets/5106766		60159846
5106769	Abrams,_Harriett/_	Other songs by Harriett Abrams	2		https://musescore.com/openscore-lieder-corpus/sets/5106769		11925257
5103566	Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series	5 Songs from the Chinese Poets, 1st Series	5	5	https://musescore.com/openscore-lieder-corpus/sets/5103566	#236270	552010
5106882	Barnard,_Charlotte_Alington_-_aka_Claribel/_	Other songs by Charlotte Alington Barnard	5		https://musescore.com/openscore-lieder-corpus/sets/5106882		5085825
5105982	Barnby,_Joseph/_	Other songs by Joseph Barnby	2		https://musescore.com/openscore-lieder-corpus/sets/5105982		5566022
5106884	Barns,_Ethel/_	Other songs by Ethel Barns	1		https://musescore.com/openscore-lieder-corpus/sets/5106884		5403071
5103537	Beach,_Amy/3_Browning_Songs,_Op.44	3 Browning Songs, Op.44	3	3	https://musescore.com/openscore-lieder-corpus/sets/5103537	#522898	235699
5106666	Beach,_Amy/3_Shakespeare_Songs,_Op.37	3 Shakespeare Songs, Op.37	3	3	https://musescore.com/openscore-lieder-corpus/sets/5106666		235699
5103538	Beach,_Amy/4_Songs,_Op.51	4 Songs, Op.51	4	4	https://musescore.com/openscore-lieder-corpus/sets/5103538		235699
5032884	Beethoven,_Ludwig_van/6_Lieder,_Op.48	6 Lieder, Op.48	6	6	https://musescore.com/openscore-lieder-corpus/sets/5032884	#26415	255
5106092	Beethoven,_Ludwig_van/8_Lieder,_Op.52	8 Lieder, Op.52	8	8	https://musescore.com/openscore-lieder-corpus/sets/5106092	#472274	255
5106889	Bianchi_Lacy,_Jane/_	Other songs by Jane Bianchi	1		https://musescore.com/openscore-lieder-corpus/sets/5106889		18529943
5105780	Bishop,_Henry/_	Other songs by Henry Bishop	2		https://musescore.com/openscore-lieder-corpus/sets/5105780		1200639
5079544	Bizet,_Georges/20_Mélodies,_Op.21	20 Mélodies, Op.21	1	20	https://musescore.com/openscore-lieder-corpus/sets/5079544	#342985	56158
5079497	Bizet,_Georges/Feuilles_d’album	Feuilles d’album	6	6	https://musescore.com/openscore-lieder-corpus/sets/5079497		56158
5107411	Bonis,_Mel/_	Other songs by Mélanie Bonis	1		https://musescore.com/openscore-lieder-corpus/sets/5107411		467452
5101802	Boulanger,_Lili/_	Other songs by Lili Boulanger	3		https://musescore.com/openscore-lieder-corpus/sets/5101802		230412
5100931	Boulanger,_Lili/Clairières_dans_le_ciel	Clairières dans le ciel	13	13	https://musescore.com/openscore-lieder-corpus/sets/5100931	#25057	230412
5104057	Boulton,_Harold/12_New_Songs	12 New Songs	12	12	https://musescore.com/openscore-lieder-corpus/sets/5104057	#285334	7527034
5104578	Brahms,_Johannes/2_Gesänge,_Op.91	2 Gesänge, Op.91	2	2	https://musescore.com/openscore-lieder-corpus/sets/5104578	#39262	7294
5071658	Brahms,_Johannes/4_Gesänge,_Op.46	4 Gesänge, Op.46	4	4	https://musescore.com/openscore-lieder-corpus/sets/5071658	#79670	7294
5107949	Brahms,_Johannes/4_Serious_Songs,_Op.121	4 Serious Songs, Op.121	4	4	https://musescore.com/openscore-lieder-corpus/sets/5107949	#85424	7294
5067679	Brahms,_Johannes/4_Songs,_Op.43	4 Songs, Op.43	4	4	https://musescore.com/openscore-lieder-corpus/sets/5067679	#79666	7294
5032882	Brahms,_Johannes/5_Lieder,_Op.47	5 Lieder, Op.47	5	5	https://musescore.com/openscore-lieder-corpus/sets/5032882	#81904	7294
5096872	Brahms,_Johannes/5_Lieder,_Op.49	5 Lieder, Op.49	5	5	https://musescore.com/openscore-lieder-corpus/sets/5096872	#81909	7294
5069034	Brahms,_Johannes/5_Poems,_Op.19	5 Poems, Op.19	5	5	https://musescore.com/openscore-lieder-corpus/sets/5069034	#97696	7294
4910391	Brahms,_Johannes/6_Songs,_Op.3	6 Songs, Op.3	6	6	https://musescore.com/openscore-lieder-corpus/sets/4910391	#97681	7294
5067697	Brahms,_Johannes/6_Songs,_Op.6	6 Songs, Op.6	6	6	https://musescore.com/openscore-lieder-corpus/sets/5067697	#97689	7294
5096870	Brahms,_Johannes/6_Songs,_Op.7	6 Songs, Op.7	6	6	https://musescore.com/openscore-lieder-corpus/sets/5096870	#97691	7294
5013857	Brahms,_Johannes/7_Lieder,_Op.48	7 Lieder, Op.48	7	7	https://musescore.com/openscore-lieder-corpus/sets/5013857	#81907	7294
5096871	Brahms,_Johannes/8_Lieder_and_Romances,_Op.14	8 Lieder and Romances, Op.14	8	8	https://musescore.com/openscore-lieder-corpus/sets/5096871	#97693	7294
5033060	Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.57	8 Lieder und Gesänge, Op.57	8	8	https://musescore.com/openscore-lieder-corpus/sets/5033060	#81926	7294
5071706	Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.58	8 Lieder und Gesänge, Op.58	8	8	https://musescore.com/openscore-lieder-corpus/sets/5071706	#81975	7294
5032872	Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.59	8 Lieder und Gesänge, Op.59	8	8	https://musescore.com/openscore-lieder-corpus/sets/5032872	#81993	7294
5033093	Brahms,_Johannes/9_Lieder_und_Gesänge,_Op.32	9 Lieder und Gesänge, Op.32	9	9	https://musescore.com/openscore-lieder-corpus/sets/5033093	#97708	7294
5033077	Brahms,_Johannes/9_Lieder_und_Gesänge,_Op.63	9 Lieder und Gesänge, Op.63	9	9	https://musescore.com/openscore-lieder-corpus/sets/5033077	#88147	7294
5103544	Bridge,_Frank/_	Other songs by Frank Bridge	9		https://musescore.com/openscore-lieder-corpus/sets/5103544		366636
5106888	Browne,_Augusta/_	Other songs by Augusta Browne	3		https://musescore.com/openscore-lieder-corpus/sets/5106888		4820896
5104072	Burleigh,_Harry_Thacker/_	Other songs by Harry T. Burleigh	3		https://musescore.com/openscore-lieder-corpus/sets/5104072		1586825
5104071	Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope	5 Songs of Laurence Hope	5	5	https://musescore.com/openscore-lieder-corpus/sets/5104071	#238246	1586825
5103552	Butterworth,_George/_	Other songs by George Butterworth	1		https://musescore.com/openscore-lieder-corpus/sets/5103552		774863
5103550	Butterworth,_George/6_Songs_from_A_Shropshire_Lad	6 Songs from A Shropshire Lad	6	6	https://musescore.com/openscore-lieder-corpus/sets/5103550	#239744	774863
5103551	Butterworth,_George/Bredon_Hill_and_Other_Songs	Bredon Hill and Other Songs	5	5	https://musescore.com/openscore-lieder-corpus/sets/5103551		774863
5105983	Cellier,_Alfred/_	Other songs by Alfred Cellier	1		https://musescore.com/openscore-lieder-corpus/sets/5105983		2603318
5100086	Chabrier,_Emmanuel/_	Other songs by Emmanuel Chabrier	3		https://musescore.com/openscore-lieder-corpus/sets/5100086		313374
5097140	Chaminade,_Cécile/_	Other songs by Cécile Chaminade	31		https://musescore.com/openscore-lieder-corpus/sets/5097140		236438
5077648	Chausson,_Ernest/7_Mélodies,_Op.2	7 Mélodies, Op.2	7	7	https://musescore.com/openscore-lieder-corpus/sets/5077648	#16897	312368
5057842	Chausson,_Ernest/Serres_chaudes,_Op.24	Serres chaudes, Op.24	5	5	https://musescore.com/openscore-lieder-corpus/sets/5057842	#26882	312368
5103493	Coleridge-Taylor,_Samuel/_	Other songs by Samuel Coleridge-Taylor	2		https://musescore.com/openscore-lieder-corpus/sets/5103493		739229
5103497	Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57	6 Sorrow Songs, Op.57	6	6	https://musescore.com/openscore-lieder-corpus/sets/5103497	#23607	739229
5105986	Corder,_Frederick/_	Other songs by Frederick Corder	1		https://musescore.com/openscore-lieder-corpus/sets/5105986		706644
5054958	Cornelius,_Peter/6_Lieder,_Op.1	6 Lieder, Op.1	6	6	https://musescore.com/openscore-lieder-corpus/sets/5054958	#24060	57257
5051360	Cornelius,_Peter/6_Lieder,_Op.5	6 Lieder, Op.5	6	6	https://musescore.com/openscore-lieder-corpus/sets/5051360	#24063	57257
5062162	Cornelius,_Peter/An_Bertha,_Op.15	An Bertha, Op.15	4	4	https://musescore.com/openscore-lieder-corpus/sets/5062162	#344852	57257
5062145	Cornelius,_Peter/Liebeslieder,_Op.4	Liebeslieder, Op.4	3	6	https://musescore.com/openscore-lieder-corpus/sets/5062145	#80149	57257
5043619	Cornelius,_Peter/Trauer_und_Trost,_Op.3	Trauer und Trost, Op.3	6	6	https://musescore.com/openscore-lieder-corpus/sets/5043619	#80679	57257
5105987	Cowen,_Frederic_Hymen/_	Other songs by Frederic Hymen Cowen	3		https://musescore.com/openscore-lieder-corpus/sets/5105987		1452734
5103573	Davies,_Walford/8_New_Nursery_Rhymes,_Op.23	8 New Nursery Rhymes, Op.23	8	8	https://musescore.com/openscore-lieder-corpus/sets/5103573	#333826	3131948
5060912	Debussy,_Claude/Ariettes_Oubliées	Ariettes Oubliées	6	6	https://musescore.com/openscore-lieder-corpus/sets/5060912	#14819	4700
5060952	Debussy,_Claude/Cinq_Poëmes_de_Baudelaire	Cinq Poëmes de Baudelaire	5	5	https://musescore.com/openscore-lieder-corpus/sets/5060952	#225776	4700
5079444	Debussy,_Claude/Trois_Chansons_de_Bilitis	Trois Chansons de Bilitis	3	3	https://musescore.com/openscore-lieder-corpus/sets/5079444	#225679	4700
5106276	Delius,_Frederick/2_Songs,_RT_V16	2 Songs, RT V/16	2	2	https://musescore.com/openscore-lieder-corpus/sets/5106276	#148197	312698
5103561	Delius,_Frederick/4_Old_English_Lyrics	4 Old English Lyrics	4	4	https://musescore.com/openscore-lieder-corpus/sets/5103561		312698
5107056	Dickson,_Ellen/_	Other songs by Ellen Dickson	4		https://musescore.com/openscore-lieder-corpus/sets/5107056		5364812
5106919	Duchambge,_Pauline/_	Other songs by Pauline Duchambge	4		https://musescore.com/openscore-lieder-corpus/sets/5106919		3372712
5103579	Elgar,_Edward/_	Other songs by Edward Elgar	1		https://musescore.com/openscore-lieder-corpus/sets/5103579		179631
5103578	Elgar,_Edward/2_Songs,_Op.60	2 Songs, Op.60	2	2	https://musescore.com/openscore-lieder-corpus/sets/5103578		179631
5103577	Elgar,_Edward/7_Lieder	7 Lieder	7	7	https://musescore.com/openscore-lieder-corpus/sets/5103577	#556602	179631
5106729	Faisst,_Clara_Mathilda/2_Kriegslieder	2 Kriegslieder	2	2	https://musescore.com/openscore-lieder-corpus/sets/5106729	#623002	17626542
5106755	Faisst,_Clara_Mathilda/2_Lieder,_Op.19	2 Lieder, Op.19	1	2	https://musescore.com/openscore-lieder-corpus/sets/5106755		17626542
5103310	Faisst,_Clara_Mathilda/2_Lieder,_Op.8	2 Lieder, Op.8	2	2	https://musescore.com/openscore-lieder-corpus/sets/5103310		17626542
5104223	Faisst,_Clara_Mathilda/4_Lieder,_Op._11	4 Lieder, Op. 11	4	4	https://musescore.com/openscore-lieder-corpus/sets/5104223		17626542
5104227	Faisst,_Clara_Mathilda/4_Lieder,_Op.1	4 Lieder, Op.1	3	4	https://musescore.com/openscore-lieder-corpus/sets/5104227		17626542
5106730	Faisst,_Clara_Mathilda/4_Lieder,_Op.18	4 Lieder, Op.18	4	4	https://musescore.com/openscore-lieder-corpus/sets/5106730		17626542
5104225	Faisst,_Clara_Mathilda/5_Lieder,_Op.3	5 Lieder, Op.3	2	5	https://musescore.com/openscore-lieder-corpus/sets/5104225		17626542
5103264	Faisst,_Clara_Mathilda/5_Lieder,_Op.4	5 Lieder, Op.4	5	5	https://musescore.com/openscore-lieder-corpus/sets/5103264	#621606 	17626542
5104226	Faisst,_Clara_Mathilda/5_Lieder,_Op.6	5 Lieder, Op.6	3	5	https://musescore.com/openscore-lieder-corpus/sets/5104226		17626542
5106920	Faltis,_Evelyn/Lieder_fernen_Gedenkens,_Op._posth	Lieder fernen Gedenkens, Op. posth.	4	4	https://musescore.com/openscore-lieder-corpus/sets/5106920	#86859	5416317
5106921	Farrenc,_Louise/_	Other songs by Louise Farrenc	1		https://musescore.com/openscore-lieder-corpus/sets/5106921		442198
5108674	Fauré,_Gabriel/3_Songs,_Op.7	3 Songs, Op.7	2	3	https://musescore.com/openscore-lieder-corpus/sets/5108674		104919
5102376	Fauré,_Gabriel/4_Songs,_Op.51	4 Songs, Op.51	4	4	https://musescore.com/openscore-lieder-corpus/sets/5102376	#291524	104919
5099424	Fauré,_Gabriel/Cinq_Mélodies,_Op.58	Cinq Mélodies, Op.58	5	5	https://musescore.com/openscore-lieder-corpus/sets/5099424	#24127	104919
5079368	Ferrari,_Gabrielle/_	Other songs by Gabrielle Ferrari	2		https://musescore.com/openscore-lieder-corpus/sets/5079368		5516070
5099780	Franz,_Robert/12_Gesänge,_Op.1	12 Gesänge, Op.1	12	12	https://musescore.com/openscore-lieder-corpus/sets/5099780	#88709	561967
5032888	Franz,_Robert/6_Gesänge,_Op.14	6 Gesänge, Op.14	6	6	https://musescore.com/openscore-lieder-corpus/sets/5032888	#295030	561967
